id,arc de triomphe,arc de triomphe du carrousel,arènes de lutèce,assemblée nationale,av des champs-Élysées,basilique de st-denis,basilique du sacré-cœur,bateaux mouches,bibliothèque nationale de france,bois de boulogne,bois de vincennes,bourse de commerce,catacombes de paris,centre pompidou,champs-Élysées,chapelle expiatoire,cimetière de montmartre,cimetière du père lachaise,cinémathèque française,cité de la musique,cité des sciences et de lindustrie,conciergerie,dalí espace,eiffel tower,fondation cartier pour lart contemporain,forum des halles,gare montparnasse,grand palais,grande arche de la défense,hôtel de ville,hôtel des invalides,institut de france,institut du monde arabe,jardin des plantes,jardin des tuileries,jardin du luxembourg,jardin du palais royal,jeu de paume,la seine,maison de balzac,maison de victor hugo,maison européenne de la photographie,manufacture des gobelins,mosquée de paris,musée atelier zadkine,musée bourdelle,musée carnavalet,musée cernuschi,musée cognacq-jay,musée dapper,musée dart moderne de la ville de paris,musée dart naïf max fourny,musée de la chasse et de la nature,musée de la contrefaçon,musée de la curiosité et de la magie,musée de la monnaie de paris,musée de la poste,musée de la vie romantique,musée de lassistance publique-hôpitaux de paris,musée de lorangerie,musée de lÉrotisme,musée de montmartre,musée des arts et métiers,musée des arts forains,musée des Égouts de paris,musée dorsay,musée du fumeur,musée du louvre,musée du luxembourg,musée du montparnasse,musée du quai branly,musée du vin,musée galliera de la mode de la ville de paris,musée grévin,musée guimet des arts asiatiques,musée jacquemart-andré,musée marmottan-monet,musée national dhistoire naturelle,musée national du moyen age,musée national eugène delacroix,musée nissim de camondo,musée picasso,musée rodin,musée Édith piaf,mémorial des martyrs de la déportation,palais de la découverte,palais de tokyo,panthéon,parc de belleville,parc de bercy,parc de la villette,parc des buttes-chaumont,parc du champ de mars,petit palais,place de la bastille,place de la concorde,place de la madeleine,place des vosges,place du tertre,place vendôme,pletzl,pont neuf,promenade plantée,quartier latin,sainte chapelle,sorbonne,stade de france,tour montparnasse,viaduc des arts,Église st-eustache,Église st-germain des prés,Église st-germain lauxerrois,Église st-sulpice,Église st-Étienne du mont
musée national dhistoire naturelle,20,11,6,12,19,25,28,17,4,21,12,14,16,11,19,18,25,20,6,16,18,7,28,17,11,11,20,14,30,8,17,8,3,1,11,11,15,13,13,21,12,8,5,4,12,22,11,22,12,24,18,22,11,22,6,7,17,21,7,13,24,29,13,6,16,11,10,11,10,15,17,19,17,16,18,19,22,0,7,12,22,12,16,16,5,15,16,7,19,5,16,21,17,14,7,13,15,11,29,16,14,8,6,6,7,7,20,14,6,17,11,12,10,6
musée national du moyen age,17,7,4,9,16,30,25,13,11,20,17,10,15,9,16,14,21,25,11,22,24,3,25,13,10,7,14,10,29,6,13,4,4,6,8,6,11,9,11,17,12,8,10,7,7,16,10,18,10,20,14,18,9,22,7,4,11,17,5,9,20,25,9,12,12,7,14,7,4,10,13,16,14,12,14,16,21,7,0,7,18,11,11,17,4,11,12,3,20,10,23,21,13,10,8,9,12,12,25,12,13,4,11,2,3,2,25,10,11,13,6,8,4,4
musée national eugène delacroix,15,6,8,7,14,33,25,12,14,19,20,9,16,12,14,13,18,28,14,25,26,6,21,11,11,10,15,8,28,8,12,6,7,9,6,7,9,8,13,15,16,11,13,10,8,15,13,17,13,19,13,20,12,20,10,6,12,16,8,8,18,23,12,14,10,6,17,6,5,10,11,14,12,12,12,14,20,10,6,0,16,14,10,20,7,9,11,7,23,13,25,24,11,8,11,7,10,14,22,10,15,7,14,5,6,5,28,11,14,13,4,7,4,8
musée nissim de camondo,5,11,19,10,7,22,16,10,22,10,27,14,25,18,7,7,11,29,23,20,19,17,13,11,19,17,21,7,18,15,13,15,19,20,9,18,13,9,20,14,22,17,25,22,18,21,20,4,20,9,9,14,18,11,17,14,18,10,15,9,11,15,16,23,11,12,26,11,17,17,12,14,9,12,9,3,14,21,17,15,0,21,11,25,19,9,9,18,26,22,20,22,11,7,19,8,8,21,13,10,22,12,23,16,17,17,17,17,23,19,14,12,16,19
musée picasso,23,17,14,18,23,30,23,22,12,27,18,14,26,7,23,16,20,21,12,22,22,12,23,22,21,12,26,19,35,11,23,13,12,9,17,16,15,19,9,26,5,12,14,12,18,27,3,19,6,26,24,16,5,29,9,13,23,18,11,19,18,24,9,13,21,17,9,15,16,21,22,25,23,12,23,19,28,10,13,18,19,0,21,9,13,20,21,14,12,11,21,14,22,19,6,18,18,4,23,16,6,12,11,12,12,12,26,22,11,12,17,16,15,15
musée rodin,10,7,12,4,9,29,22,7,17,14,24,10,14,15,9,10,17,32,18,27,26,10,19,7,9,13,11,4,23,11,4,10,11,13,5,9,10,5,17,11,18,14,15,14,8,11,16,11,16,14,8,19,15,16,14,10,8,16,11,5,18,21,15,18,6,5,21,7,7,7,8,10,8,12,8,9,15,14,10,7,11,17,0,24,11,5,6,11,27,17,26,25,4,4,15,5,8,17,19,10,18,9,18,9,10,9,25,7,18,15,6,8,8,12
musée Édith piaf,24,21,19,22,25,28,25,27,18,28,18,16,30,12,25,18,22,14,17,19,19,17,25,26,25,14,31,22,35,16,27,18,16,13,21,21,17,22,13,30,11,17,19,16,23,31,11,21,12,28,27,18,11,30,14,17,27,20,15,22,20,26,11,17,25,21,6,17,20,26,26,28,25,14,26,21,32,14,17,22,21,11,25,0,17,23,25,18,6,16,18,10,26,22,10,20,20,11,25,18,14,16,11,16,17,17,23,28,11,14,21,18,19,19
mémorial des martyrs de la déportation,18,8,7,10,17,29,24,14,10,21,16,11,18,6,17,15,21,24,11,21,23,4,24,14,13,7,18,11,30,3,15,5,6,8,9,8,12,10,8,18,10,5,12,10,10,19,7,19,7,21,16,17,6,23,4,5,15,18,3,10,20,25,9,11,13,8,13,8,8,13,14,17,15,12,15,17,22,9,5,10,19,8,13,16,0,12,13,6,19,9,21,20,14,11,7,10,13,9,25,13,10,4,10,4,4,4,24,14,10,12,8,9,7,7
palais de la découverte,6,6,14,5,5,25,19,5,18,10,24,9,19,14,5,8,14,32,18,22,22,12,16,7,14,12,16,1,18,10,7,10,13,15,4,13,9,4,15,9,17,12,19,17,13,16,15,8,15,9,6,17,13,12,12,9,13,12,10,4,14,17,14,18,6,6,21,6,12,12,7,8,5,11,6,5,13,16,12,10,8,16,6,23,13,0,4,13,27,17,22,23,7,2,15,3,6,16,16,8,17,7,18,11,12,12,20,12,18,14,8,7,11,14
palais de tokyo,5,6,14,6,5,23,22,3,18,7,24,9,20,14,5,10,17,30,18,21,20,12,19,2,14,12,15,4,18,10,9,10,14,16,4,14,9,4,16,5,17,13,20,17,13,15,15,11,15,8,1,18,14,9,12,9,14,15,10,4,17,21,14,18,3,7,21,6,12,12,4,4,2,11,2,7,8,17,12,10,11,16,7,23,14,3,0,13,26,17,21,24,2,4,15,4,7,16,19,8,17,8,18,11,12,12,19,13,18,14,9,7,11,15
